epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,835.521,1.67836,3.25785,1.94229,0.21723,0.35675,0.2153,0.07869,1.56846,4.87866,1.89953,0.000550425,0.000550425,0.000550425
2,1763.77,1.78143,2.80135,2.03756,0.42429,0.2229,0.2237,0.07549,1.68994,5.54455,2.08618,0.000996588,0.000996588,0.000996588
3,2613.51,1.80481,2.54657,2.05829,0.30043,0.3785,0.26971,0.10734,1.62676,3.69386,1.84718,0.00133273,0.00133273,0.00133273
4,3443.38,1.75811,2.35955,2.02425,0.71194,0.24476,0.23787,0.0945,1.61593,3.36295,1.81445,0.0011719,0.0011719,0.0011719
5,4252.65,1.69292,2.16982,1.95131,0.52431,0.4375,0.45466,0.20362,1.41582,2.87421,1.61997,0.00100687,0.00100687,0.00100687
6,5071.33,1.59941,1.99549,1.85398,0.56301,0.37918,0.36891,0.16198,1.54608,2.70272,1.75477,0.000841835,0.000841835,0.000841835
7,5778.6,1.52688,1.84893,1.79497,0.67592,0.4869,0.51314,0.25243,1.36695,1.74214,1.5955,0.000676802,0.000676802,0.000676802
8,6497.78,1.45069,1.69396,1.70974,0.61284,0.51532,0.55983,0.27456,1.3536,1.81419,1.53691,0.000511769,0.000511769,0.000511769
9,7272.52,1.35491,1.56917,1.63928,0.67813,0.57692,0.64264,0.34006,1.25848,1.48856,1.46097,0.000346736,0.000346736,0.000346736
10,8112.06,1.26988,1.42735,1.56586,0.63864,0.56873,0.62397,0.32709,1.30497,1.45258,1.50455,0.000181703,0.000181703,0.000181703
